ANVENDELSE,TID,Xt
010000,1966,222779.0
010000,1967,224430.0
010000,1968,224282.0
010000,1969,225092.0
010000,1970,225532.0
010000,1971,226385.0
010000,1972,229269.0
010000,1973,235171.0
010000,1974,240479.0
010000,1975,244016.0
010000,1976,249923.0
010000,1977,257543.0
010000,1978,265709.0
010000,1979,273950.0
010000,1980,274839.0
010000,1981,271574.0
010000,1982,269172.0
010000,1983,265387.0
010000,1984,264710.0
010000,1985,266226.0
010000,1986,266885.0
010000,1987,266110.0
010000,1988,264303.0
010000,1989,267224.0
010000,1990,270771.0
010000,1991,270977.0
010000,1992,269956.0
010000,1993,265165.0
010000,1994,261404.0
010000,1995,258846.0
010000,1996,255722.0
010000,1997,253481.0
010000,1998,250903.0
010000,1999,243755.0
010000,2000,242098.0
010000,2001,242131.0
010000,2002,240161.0
010000,2003,238063.0
010000,2004,236088.0
010000,2005,234687.0
010000,2006,235845.0
010000,2007,239330.0
010000,2008,242244.0
010000,2009,239024.0
010000,2010,234064.0
010000,2011,229103.0
010000,2012,225090.0
010000,2013,222016.0
010000,2014,218477.0
010000,2015,215268.0
010000,2016,211288.0
010000,2017,208278.0
010000,2018,204256.0
010000,2019,200726.0
010000,2020,196514.0
010000,2021,194470.0
010000,2022,190650.0
010000,2023,187393.0
010000,2024,184590.0
100010,1966,
100010,1967,
100010,1968,
100010,1969,
100010,1970,
100010,1971,
100010,1972,
100010,1973,
100010,1974,
100010,1975,
100010,1976,
100010,1977,
100010,1978,
100010,1979,
100010,1980,
100010,1981,
100010,1982,
100010,1983,
100010,1984,
100010,1985,
100010,1986,
100010,1987,
100010,1988,
100010,1989,
100010,1990,
100010,1991,
100010,1992,20659.335022213836
100010,1993,21072.52172265811
100010,1994,21551.228950426823
100010,1995,21742.31626849162
100010,1996,22460.400674364577
100010,1997,22568.393119562985
100010,1998,22913.784266801937
100010,1999,22988.020959754493
100010,2000,23592.77556675723
100010,2001,24191.702355623416
100010,2002,24611.73726576327
100010,2003,25409.96199611078
100010,2004,26129.686067559967
100010,2005,26020.369638778648
100010,2006,25899.86417966112
100010,2007,25988.25526927784
100010,2008,26725.595847589648
100010,2009,27361.26502360732
100010,2010,26762.312686723395
100010,2011,26324.032984949605
100010,2012,26528.13855946952
100010,2013,26364.29346965887
100010,2014,26169.172555467103
100010,2015,25905.4654627766
100010,2016,25721.654474975516
100010,2017,25611.832554483113
100010,2018,26158.639842883633
100010,2019,26445.716313530997
100010,2020,26503.103398561663
100010,2021,26671.43829006974
100010,2022,26893.946268273103
100030,1966,
100030,1967,
100030,1968,
100030,1969,
100030,1970,
100030,1971,
100030,1972,
100030,1973,
100030,1974,
100030,1975,
100030,1976,
100030,1977,
100030,1978,
100030,1979,
100030,1980,
100030,1981,
100030,1982,
100030,1983,
100030,1984,
100030,1985,
100030,1986,
100030,1987,
100030,1988,
100030,1989,
100030,1990,
100030,1991,
100030,1992,9519.23575857513
100030,1993,9709.620473746632
100030,1994,9788.838914601894
100030,1995,9928.490376677377
100030,1996,10279.872540478047
100030,1997,10358.006373090022
100030,1998,10458.014424808956
100030,1999,10482.76681190054
100030,2000,11017.677470430786
100030,2001,11384.865521065192
100030,2002,11751.698616556158
100030,2003,12266.585213177867
100030,2004,12817.499819112114
100030,2005,12995.031347338061
100030,2006,13041.133737573673
100030,2007,13186.739519912651
100030,2008,13720.145057953838
100030,2009,14164.163412857195
100030,2010,13980.591579469921
100030,2011,13934.68861313832
100030,2012,14395.724104915706
100030,2013,14355.24763737827
100030,2014,14392.77276045085
100030,2015,14584.333208627715
100030,2016,14797.380040979728
100030,2017,15013.939880300231
100030,2018,15356.998980255501
100030,2019,15778.212909103197
100030,2020,15812.69289896482
100030,2021,16061.663402531272
100030,2022,16329.681227987032
100040x100050,1966,
100040x100050,1967,
100040x100050,1968,
100040x100050,1969,
100040x100050,1970,
100040x100050,1971,
100040x100050,1972,
100040x100050,1973,
100040x100050,1974,
100040x100050,1975,
100040x100050,1976,
100040x100050,1977,
100040x100050,1978,
100040x100050,1979,
100040x100050,1980,
100040x100050,1981,
100040x100050,1982,
100040x100050,1983,
100040x100050,1984,
100040x100050,1985,
100040x100050,1986,
100040x100050,1987,
100040x100050,1988,
100040x100050,1989,
100040x100050,1990,
100040x100050,1991,
100040x100050,1992,27478.90845300673
100040x100050,1993,28028.486622066866
100040x100050,1994,28422.087503012128
100040x100050,1995,28819.555962570226
100040x100050,1996,29949.558832245115
100040x100050,1997,30200.497742083164
100040x100050,1998,30590.828861793765
100040x100050,1999,30632.304255498602
100040x100050,2000,31588.80921597784
100040x100050,2001,32452.56449580291
100040x100050,2002,33285.898840249516
100040x100050,2003,34147.78135054846
100040x100050,2004,35205.04776453965
100040x100050,2005,35380.87660195035
100040x100050,2006,35497.98224043341
100040x100050,2007,35967.29107667578
100040x100050,2008,37455.37131203871
100040x100050,2009,38469.173552535045
100040x100050,2010,37685.914894562506
100040x100050,2011,37323.81731565788
100040x100050,2012,37588.00704312144
100040x100050,2013,37764.87858279535
100040x100050,2014,37827.60932545634
100040x100050,2015,37544.633539452014
100040x100050,2016,37575.70386710967
100040x100050,2017,37941.15363769325
100040x100050,2018,39093.06859531652
100040x100050,2019,39652.161125885665
100040x100050,2020,39656.2099211436
100040x100050,2021,39906.39827029841
100040x100050,2022,40233.08322313017
REST,1966,2618163.0
REST,1967,2738303.0
REST,1968,2867006.0
REST,1969,3015495.0
REST,1970,3161059.0
REST,1971,3302298.0
REST,1972,3467494.0
REST,1973,3631240.0
REST,1974,3755637.0
REST,1975,3856260.0
REST,1976,3992820.0
REST,1977,4114787.0
REST,1978,4233512.0
REST,1979,4350333.0
REST,1980,4435830.0
REST,1981,4471498.0
REST,1982,4517509.0
REST,1983,4564886.0
REST,1984,4625448.0
REST,1985,4710206.0
REST,1986,4837386.0
REST,1987,4962141.0
REST,1988,5055391.0
REST,1989,5137935.0
REST,1990,5217291.0
REST,1991,5264800.0
REST,1992,5305384.0
REST,1993,5328639.0
REST,1994,5354683.0
REST,1995,5403081.0
REST,1996,5462484.0
REST,1997,5531111.0
REST,1998,5612542.0
REST,1999,5682056.0
REST,2000,5773271.0
REST,2001,5852073.0
REST,2002,5918328.0
REST,2003,5980902.0
REST,2004,6046439.0
REST,2005,6132550.0
REST,2006,6270696.0
REST,2007,6395005.0
REST,2008,6486901.0
REST,2009,6533631.0
REST,2010,6550770.0
REST,2011,6568622.0
REST,2012,6599838.0
REST,2013,6638025.0
REST,2014,6696875.0
REST,2015,6769376.0
REST,2016,6870825.0
REST,2017,6985059.0
REST,2018,7107156.0
REST,2019,7209258.0
REST,2020,7324959.0
REST,2021,7488001.0
REST,2022,7648052.0
REST,2023,7786450.0
REST,2024,7930718.0
